Date,Users
2020-01-01,13
2020-01-02,17
2020-01-03,13
2020-01-04,4
2020-01-05,10
2020-01-06,29
2020-01-07,43
2020-01-08,27
2020-01-09,26
2020-01-10,20
2020-01-11,7
2020-01-12,7
2020-01-13,27
2020-01-14,33
2020-01-15,16
2020-01-16,14
2020-01-17,14
2020-01-18,18
2020-01-19,25
2020-01-20,16
2020-01-21,24
2020-01-22,17
2020-01-23,39
2020-01-24,43
2020-01-25,35
2020-01-26,37
2020-01-27,189
2020-01-28,197
2020-01-29,142
2020-01-30,79
2020-01-31,60
2020-02-01,46
2020-02-02,47
2020-02-03,60
2020-02-04,52
2020-02-05,38
2020-02-06,32
2020-02-07,40
2020-02-08,21
2020-02-09,30
2020-02-10,33
2020-02-11,13
2020-02-12,71
2020-02-13,59
2020-02-14,38
2020-02-15,45
2020-02-16,59
2020-02-17,46
2020-02-18,60
2020-02-19,77
2020-02-20,59
2020-02-21,51
2020-02-22,45
2020-02-23,30
2020-02-24,28
2020-02-25,80
2020-02-26,50
2020-02-27,53
2020-02-28,74
2020-02-29,46
2020-03-01,27
2020-03-02,62
2020-03-03,65
2020-03-04,75
2020-03-05,56
2020-03-06,52
2020-03-07,58
2020-03-08,41
2020-03-09,119
2020-03-10,78
2020-03-11,99
2020-03-12,62
2020-03-13,28
2020-03-14,10
2020-03-15,10
2020-03-16,10
2020-03-17,14
2020-03-18,13
2020-03-19,9
2020-03-20,27
2020-03-21,19
2020-03-22,7
2020-03-23,14
2020-03-24,8
2020-03-25,13
2020-03-26,10
2020-03-27,14
2020-03-28,7
2020-03-29,13
2020-03-30,5
2020-03-31,6
2020-04-01,10
2020-04-02,16
2020-04-03,13
2020-04-04,9
2020-04-05,16
2020-04-06,3
2020-04-07,6
2020-04-08,9
2020-04-09,0
2020-04-10,10
2020-04-11,14
2020-04-12,5
2020-04-13,6
2020-04-14,6
2020-04-15,10
2020-04-16,2
2020-04-17,12
2020-04-18,3
2020-04-19,6
2020-04-20,16
2020-04-21,10
2020-04-22,12
2020-04-23,2
2020-04-24,11
2020-04-25,2
2020-04-26,2
2020-04-27,12
2020-04-28,8
2020-04-29,23
2020-04-30,6
2020-05-01,9
2020-05-02,8
2020-05-03,11
2020-05-04,19
2020-05-05,4
2020-05-06,13
2020-05-07,26
2020-05-08,17
2020-05-09,11
2020-05-10,10
2020-05-11,18
2020-05-12,9
2020-05-13,12
2020-05-14,10
2020-05-15,10
2020-05-16,22
2020-05-17,9
2020-05-18,13
2020-05-19,10
2020-05-20,21
2020-05-21,12
2020-05-22,2
2020-05-23,13
2020-05-24,11
2020-05-25,16
2020-05-26,9
2020-05-27,8
2020-05-28,20
2020-05-29,22
2020-05-30,6
2020-05-31,21
2020-06-01,28
2020-06-02,14
2020-06-03,8
2020-06-04,4
2020-06-05,20
2020-06-06,7
2020-06-07,20
2020-06-08,12
2020-06-09,6
2020-06-10,12
2020-06-11,13
2020-06-12,11
2020-06-13,15
2020-06-14,15
2020-06-15,8
2020-06-16,32
2020-06-17,25
2020-06-18,53
2020-06-19,18
2020-06-20,20
2020-06-21,18
2020-06-22,34
2020-06-23,43
2020-06-24,45
2020-06-25,18
2020-06-26,62
2020-06-27,31
2020-06-28,32
2020-06-29,47
2020-06-30,54
2020-07-01,45
2020-07-02,36
2020-07-03,38
2020-07-04,24
2020-07-05,36
2020-07-06,36
2020-07-07,45
2020-07-08,92
2020-07-09,34
2020-07-10,66
2020-07-11,76
2020-07-12,60
2020-07-13,131
2020-07-14,47
2020-07-15,53
2020-07-16,42
2020-07-17,43
2020-07-18,45
2020-07-19,22
2020-07-20,46
2020-07-21,101
2020-07-22,70
2020-07-23,60
2020-07-24,45
2020-07-25,28
2020-07-26,61
2020-07-27,82
2020-07-28,77
2020-07-29,73
2020-07-30,47
2020-07-31,57
2020-08-01,38
2020-08-02,44
2020-08-03,88
2020-08-04,24
2020-08-05,30
2020-08-06,60
2020-08-07,42
2020-08-08,61
2020-08-09,40
2020-08-10,53
2020-08-11,50
2020-08-12,41
2020-08-13,68
2020-08-14,43
2020-08-15,24
2020-08-16,31
2020-08-17,42
2020-08-18,36
2020-08-19,36
2020-08-20,46
2020-08-21,40
2020-08-22,33
2020-08-23,28
2020-08-24,35
2020-08-25,48
2020-08-26,57
2020-08-27,69
2020-08-28,54
2020-08-29,43
2020-08-30,40
2020-08-31,66
2020-09-01,58
2020-09-02,48
2020-09-03,52
2020-09-04,26
2020-09-05,39
2020-09-06,45
2020-09-07,100
2020-09-08,89
2020-09-09,95
2020-09-10,87
2020-09-11,55
2020-09-12,32
2020-09-13,87
2020-09-14,86
2020-09-15,112
2020-09-16,174
2020-09-17,43
2020-09-18,60
2020-09-19,32
2020-09-20,13
2020-09-21,45
2020-09-22,28
2020-09-23,39
2020-09-24,54
2020-09-25,38
2020-09-26,20
2020-09-27,6
2020-09-28,48
2020-09-29,58
2020-09-30,62
2020-10-01,32
2020-10-02,15
2020-10-03,10
2020-10-04,33
2020-10-05,21
2020-10-06,48
2020-10-07,43
2020-10-08,16
2020-10-09,30
2020-10-10,22
2020-10-11,14
2020-10-12,16
2020-10-13,39
2020-10-14,27
2020-10-15,12
2020-10-16,16
2020-10-17,7
2020-10-18,10
2020-10-19,47
2020-10-20,31
2020-10-21,62
2020-10-22,72
2020-10-23,62
2020-10-24,36
2020-10-25,44
2020-10-26,58
2020-10-27,50
2020-10-28,64
2020-10-29,50
2020-10-30,30
2020-10-31,18
2020-11-01,41
2020-11-02,55
2020-11-03,55
2020-11-04,39
2020-11-05,38
2020-11-06,32
2020-11-07,37
2020-11-08,30
2020-11-09,55
2020-11-10,42
2020-11-11,52
2020-11-12,61
2020-11-13,35
2020-11-14,42
2020-11-15,35
2020-11-16,51
2020-11-17,2
2020-11-18,3
2020-11-19,3
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,2
2020-11-24,35
2020-11-25,38
2020-11-26,34
2020-11-27,23
2020-11-28,39
2020-11-29,47
2020-11-30,37
2020-12-01,27
2020-12-02,38
2020-12-03,43
2020-12-04,29
2020-12-05,47
2020-12-06,50
2020-12-07,37
2020-12-08,40
2020-12-09,30
2020-12-10,41
2020-12-11,51
2020-12-12,29
2020-12-13,46
2020-12-14,50
2020-12-15,40
2020-12-16,45
2020-12-17,44
2020-12-18,56
2020-12-19,31
2020-12-20,54
2020-12-21,43
2020-12-22,11
2020-12-23,14
2020-12-24,13
2020-12-25,6
2020-12-26,13
2020-12-27,19
2020-12-28,18
2020-12-29,19
2020-12-30,5
2020-12-31,5
2021-01-01,3
2021-01-02,13
2021-01-03,18
2021-01-04,16
2021-01-05,27
2021-01-06,8
2021-01-07,19
2021-01-08,19
2021-01-09,9
2021-01-10,28
2021-01-11,19
2021-01-12,27
2021-01-13,26
2021-01-14,27
2021-01-15,22
2021-01-16,17
2021-01-17,14
2021-01-18,9
2021-01-19,8
2021-01-20,14
2021-01-21,20
2021-01-22,7
2021-01-23,9
2021-01-24,10
2021-01-25,15
2021-01-26,21
2021-01-27,15
2021-01-28,13
2021-01-29,21
2021-01-30,5
2021-01-31,3
2021-02-01,26
2021-02-02,36
2021-02-03,39
2021-02-04,66
2021-02-05,29
2021-02-06,55
2021-02-07,38
2021-02-08,50
2021-02-09,44
2021-02-10,37
2021-02-11,53
2021-02-12,39
2021-02-13,17
2021-02-14,52
2021-02-15,38
2021-02-16,42
2021-02-17,43
2021-02-18,50
2021-02-19,31
2021-02-20,20
2021-02-21,34
2021-02-22,49
2021-02-23,32
2021-02-24,48
2021-02-25,25
2021-02-26,39
2021-02-27,14
2021-02-28,20
2021-03-01,48
2021-03-02,35
2021-03-03,48
2021-03-04,37
2021-03-05,35
2021-03-06,34
2021-03-07,47
2021-03-08,44
2021-03-09,40
2021-03-10,48
2021-03-11,43
2021-03-12,66
2021-03-13,55
2021-03-14,63
2021-03-15,94
2021-03-16,103
2021-03-17,101
2021-03-18,67
2021-03-19,104
2021-03-20,49
2021-03-21,102
2021-03-22,115
2021-03-23,102
2021-03-24,136
2021-03-25,121
2021-03-26,92
2021-03-27,57
2021-03-28,61
2021-03-29,56
2021-03-30,66
2021-03-31,29
2021-04-01,32
2021-04-02,28
2021-04-03,43
2021-04-04,44
2021-04-05,57
2021-04-06,86
2021-04-07,81
2021-04-08,98
2021-04-09,84
2021-04-10,57
2021-04-11,82
2021-04-12,61
2021-04-13,58
2021-04-14,45
2021-04-15,62
2021-04-16,58
2021-04-17,31
2021-04-18,44
2021-04-19,52
2021-04-20,69
2021-04-21,61
2021-04-22,53
2021-04-23,51
2021-04-24,40
2021-04-25,45
2021-04-26,55
2021-04-27,50
2021-04-28,55
2021-04-29,40
2021-04-30,33
2021-05-01,34
2021-05-02,34
2021-05-03,50
2021-05-04,58
2021-05-05,79
2021-05-06,69
2021-05-07,38
2021-05-08,23
2021-05-09,40
2021-05-10,75
2021-05-11,79
2021-05-12,85
2021-05-13,69
2021-05-14,54
2021-05-15,58
2021-05-16,36
2021-05-17,42
2021-05-18,62
2021-05-19,61
2021-05-20,51
2021-05-21,48
2021-05-22,42
2021-05-23,54
